C:\Users\sina\Desktop\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 283, took 4343 cycles
Sample 284, took 4385 cycles
Sample 285, took 4383 cycles
Sample 286, took 4246 cycles
Sample 287, took 4304 cycles
Sample 288, took 4317 cycles
Sample 289, took 4353 cycles
Sample 290, took 4357 cycles
Sample 291, took 4337 cycles
Sample 292, took 4331 cycles
Sample 293, took 4375 cycles
Sample 294, took 4347 cycles
Sample 295, took 4348 cycles
Sample 296, took 4378 cycles
Sample 297, took 4314 cycles
Sample 298, took 4243 cycles
Sample 299, took 4290 cycles
Sample 300, took 4271 cycles
Sample 301, took 4308 cycles
Sample 302, took 4381 cycles
Sample 303, took 4386 cycles
Sample 304, took 4302 cycles
Sample 305, took 4387 cycles
Sample 306, took 4347 cycles
Sample 307, took 4361 cycles
Sample 308, took 4351 cycles
Sample 309, took 4393 cycles
Sample 310, took 4355 cycles
Sample 311, took 4330 cycles
Sample 312, took 4262 cycles
Sample 313, took 4367 cycles
Sample 314, took 4333 cycles
Sample 315, took 4321 cycles
Sample 316, took 4422 cycles
Sample 317, took 4349 cycles
Sample 318, took 4373 cycles
Sample 319, took 4305 cycles
Sample 320, took 4369 cycles
Sample 321, took 4314 cycles
Sample 322, took 4324 cycles
Sample 323, took 4333 cycles
Sample 324, took 4272 cycles
Sample 325, took 4334 cycles
Sample 326, took 4318 cycles
Sample 327, took 4347 cycles
Sample 328, took 4335 cycles
Sample 329, took 4424 cycles
Sample 330, took 4337 cycles
Sample 331, took 4335 cycles
Sample 332, took 4341 cycles
Sample 333, took 4322 cycles
Sample 334, took 4318 cycles
Sample 335, took 4383 cycles
Sample 336, took 4825 cycles
Sample 337, took 6112 cycles
Sample 338, took 4723 cycles
Sample 339, took 4524 cycles
Sample 340, took 4800 cycles
Sample 341, took 4489 cycles
Sample 342, took 4566 cycles
Sample 343, took 4471 cycles
Sample 344, took 4721 cycles
Sample 345, took 4552 cycles
Sample 346, took 4306 cycles
Sample 347, took 4546 cycles
Sample 348, took 4509 cycles
Sample 349, took 4509 cycles
Sample 350, took 4447 cycles
Sample 351, took 4617 cycles
Sample 352, took 9073 cycles
Sample 353, took 5931 cycles
Sample 354, took 5545 cycles
Sample 355, took 8139 cycles
Sample 356, took 6145 cycles
Sample 357, took 4504 cycles
Sample 358, took 5906 cycles
Sample 359, took 5174 cycles
Sample 360, took 5040 cycles
Sample 361, took 6872 cycles
Sample 362, took 5444 cycles
Sample 363, took 5103 cycles
Sample 364, took 4404 cycles
Sample 365, took 4284 cycles
Sample 366, took 4418 cycles
Sample 367, took 4516 cycles
Sample 368, took 4355 cycles
Sample 369, took 4489 cycles
Sample 370, took 4343 cycles
Sample 371, took 4406 cycles
Sample 372, took 4395 cycles
Sample 373, took 4383 cycles
Sample 374, took 4227 cycles
Sample 375, took 4215 cycles
Sample 376, took 4274 cycles
Sample 377, took 4237 cycles
Sample 378, took 4217 cycles
Sample 379, took 4308 cycles
Sample 380, took 4420 cycles
Sample 381, took 4229 cycles
Sample 382, took 4330 cycles
Sample 383, took 4294 cycles
Sample 384, took 4331 cycles
Sample 385, took 4391 cycles
Sample 386, took 4400 cycles
Sample 387, took 4463 cycles
Sample 388, took 4314 cycles
Sample 389, took 4393 cycles
Sample 390, took 4315 cycles
Sample 391, took 5131 cycles
Sample 392, took 4513 cycles
Sample 393, took 4288 cycles
Sample 394, took 4312 cycles
Sample 395, took 4284 cycles
Sample 396, took 4266 cycles
Sample 397, took 4294 cycles
Sample 398, took 4308 cycles
Sample 399, took 4304 cycles
Sample 400, took 4292 cycles
Sample 401, took 4239 cycles
Sample 402, took 4223 cycles
Sample 403, took 4383 cycles
Sample 404, took 4300 cycles
Sample 405, took 4361 cycles
Sample 406, took 4241 cycles
Sample 407, took 4377 cycles
Sample 408, took 4343 cycles
Sample 409, took 5111 cycles
Sample 410, took 4459 cycles
Sample 411, took 4487 cycles
Sample 412, took 4413 cycles
Sample 413, took 4355 cycles
Sample 414, took 4420 cycles
Sample 415, took 4394 cycles
Sample 416, took 4441 cycles
Sample 417, took 4406 cycles
Sample 418, took 4388 cycles
Sample 419, took 4433 cycles
Sample 420, took 4384 cycles
Sample 421, took 4443 cycles
Sample 422, took 4387 cycles
Sample 423, took 4477 cycles
Sample 424, took 4392 cycles
Sample 425, took 4428 cycles
Sample 426, took 4396 cycles
Sample 427, took 4367 cycles
Sample 428, took 4301 cycles
Sample 429, took 4368 cycles
Sample 430, took 4349 cycles
Sample 431, took 4430 cycles
Sample 432, took 4422 cycles
Sample 433, took 4443 cycles
Sample 434, took 4375 cycles
Sample 435, took 4422 cycles
Sample 436, took 4390 cycles
Sample 437, took 4370 cycles
Sample 438, took 4386 cycles
Sample 439, took 4392 cycles
Sample 440, took 4367 cycles
Sample 441, took 4375 cycles
Sample 442, took 4410 cycles
Sample 443, took 4379 cycles
Sample 444, took 4379 cycles
Sample 445, took 4375 cycles
Sample 446, took 4396 cycles
Sample 447, took 4366 cycles
Sample 448, took 4317 cycles
Sample 449, took 4398 cycles
