C:\Users\sina\Desktop\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 553, took 44 cycles
Sample 554, took 43 cycles
Sample 555, took 43 cycles
Sample 556, took 37 cycles
Sample 557, took 37 cycles
Sample 558, took 38 cycles
Sample 559, took 41 cycles
Sample 560, took 37 cycles
Sample 561, took 35 cycles
Sample 562, took 30 cycles
Sample 563, took 37 cycles
Sample 564, took 37 cycles
Sample 565, took 35 cycles
Sample 566, took 39 cycles
Sample 567, took 39 cycles
Sample 568, took 38 cycles
Sample 569, took 36 cycles
Sample 570, took 37 cycles
Sample 571, took 37 cycles
Sample 572, took 38 cycles
Sample 573, took 36 cycles
Sample 574, took 39 cycles
Sample 575, took 38 cycles
Sample 576, took 37 cycles
Sample 577, took 38 cycles
Sample 578, took 36 cycles
Sample 579, took 39 cycles
Sample 580, took 37 cycles
Sample 581, took 38 cycles
Sample 582, took 39 cycles
Sample 583, took 37 cycles
Sample 584, took 35 cycles
Sample 585, took 36 cycles
Sample 586, took 38 cycles
Sample 587, took 38 cycles
Sample 588, took 36 cycles
Sample 589, took 36 cycles
Sample 590, took 39 cycles
Sample 591, took 40 cycles
Sample 592, took 38 cycles
Sample 593, took 36 cycles
Sample 594, took 39 cycles
Sample 595, took 38 cycles
Sample 596, took 38 cycles
Sample 597, took 37 cycles
Sample 598, took 38 cycles
Sample 599, took 37 cycles
Sample 600, took 37 cycles
Sample 601, took 38 cycles
Sample 602, took 38 cycles
Sample 603, took 36 cycles
Sample 604, took 37 cycles
Sample 605, took 35 cycles
Sample 606, took 37 cycles
Sample 607, took 35 cycles
Sample 608, took 36 cycles
Sample 609, took 39 cycles
Sample 610, took 36 cycles
Sample 611, took 38 cycles
Sample 612, took 35 cycles
Sample 613, took 36 cycles
Sample 614, took 37 cycles
Sample 615, took 39 cycles
Sample 616, took 37 cycles
Sample 617, took 38 cycles
Sample 618, took 35 cycles
Sample 619, took 36 cycles
Sample 620, took 37 cycles
Sample 621, took 39 cycles
Sample 622, took 36 cycles
Sample 623, took 38 cycles
Sample 624, took 36 cycles
Sample 625, took 38 cycles
Sample 626, took 38 cycles
Sample 627, took 38 cycles
Sample 628, took 36 cycles
Sample 629, took 39 cycles
Sample 630, took 35 cycles
Sample 631, took 37 cycles
Sample 632, took 37 cycles
Sample 633, took 39 cycles
Sample 634, took 38 cycles
Sample 635, took 35 cycles
Sample 636, took 37 cycles
Sample 637, took 38 cycles
Sample 638, took 36 cycles
