00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x4CE
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x4CF
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x4D0
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x4CC
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x4CD
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x4CE
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x4CF
00007ff67b1c2574 vmovdqa [rcx+0x20], ymm0 ; +0x0
00007ff67b1c2579 vmovdqa [rcx+0x40], ymm0 ; +0x20
00007ff67b1c257e vmovdqa [rcx+0x60], ymm0 ; +0x40
00007ff67b1c2583 vmovdqa [rcx+0x80], ymm0 ; +0x60
00007ff67b1c258b vmovdqa [rcx+0xA0], ymm0 ; +0x80
00007ff67b1c2593 vmovdqa [rcx+0xC0], ymm0 ; +0xA0
00007ff67b1c259b vmovdqa [rcx+0xE0], ymm0 ; +0xC0
00007ff67b1c2570 vmovdqa [rcx], ymm0 ; +0xE0
00007ff67b1c2574 vmovdqa [rcx+0x20], ymm0 ; +0x100
00007ff67b1c2579 vmovdqa [rcx+0x40], ymm0 ; +0x120
00007ff67b1c257e vmovdqa [rcx+0x60], ymm0 ; +0x140
00007ff67b1c2583 vmovdqa [rcx+0x80], ymm0 ; +0x160
00007ff67b1c258b vmovdqa [rcx+0xA0], ymm0 ; +0x180
00007ff67b1c2593 vmovdqa [rcx+0xC0], ymm0 ; +0x1A0
00007ff67b1c259b vmovdqa [rcx+0xE0], ymm0 ; +0x1C0
00007ff67b1c2570 vmovdqa [rcx], ymm0 ; +0x1E0
00007ff67b1c2574 vmovdqa [rcx+0x20], ymm0 ; +0x200
00007ff67b1c2579 vmovdqa [rcx+0x40], ymm0 ; +0x220
00007ff67b1c257e vmovdqa [rcx+0x60], ymm0 ; +0x240
00007ff67b1c2583 vmovdqa [rcx+0x80], ymm0 ; +0x260
00007ff67b1c258b vmovdqa [rcx+0xA0], ymm0 ; +0x280
00007ff67b1c2593 vmovdqa [rcx+0xC0], ymm0 ; +0x2A0
00007ff67b1c259b vmovdqa [rcx+0xE0], ymm0 ; +0x2C0
00007ff67b1c2570 vmovdqa [rcx], ymm0 ; +0x2E0
00007ff67b1c2574 vmovdqa [rcx+0x20], ymm0 ; +0x300
00007ff67b1c2579 vmovdqa [rcx+0x40], ymm0 ; +0x320
00007ff67b1c257e vmovdqa [rcx+0x60], ymm0 ; +0x340
00007ff67b1c2583 vmovdqa [rcx+0x80], ymm0 ; +0x360
00007ff67b1c258b vmovdqa [rcx+0xA0], ymm0 ; +0x380
00007ff67b1c2593 vmovdqa [rcx+0xC0], ymm0 ; +0x3A0
00007ff67b1c259b vmovdqa [rcx+0xE0], ymm0 ; +0x3C0
00007ff67b1c2570 vmovdqa [rcx], ymm0 ; +0x3E0
00007ff67b1c2574 vmovdqa [rcx+0x20], ymm0 ; +0x400
00007ff67b1c2579 vmovdqa [rcx+0x40], ymm0 ; +0x420
00007ff67b1c257e vmovdqa [rcx+0x60], ymm0 ; +0x440
00007ff67b1c2583 vmovdqa [rcx+0x80], ymm0 ; +0x460
00007ff67b1c258b vmovdqa [rcx+0xA0], ymm0 ; +0x480
00007ff67b1c2593 vmovdqa [rcx+0xC0], ymm0 ; +0x4A0
00007ff67b1c259b vmovdqa [rcx+0xE0], ymm0 ; +0x4C0
00007ff67b1c260d vmovdqu [rcx+r9*1-0x40], ymm0 ; +0x4E0
00007ff67b1c2614 vmovdqu [rcx+r8*1-0x20], ymm0 ; +0x4E4
