Microsoft Windows [Version 10.0.19045.4412]
(c) Microsoft Corporation. All rights reserved.

C:\Users\user\Desktop\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 632, took 10841 cycles
Sample 633, took 10380 cycles
Sample 634, took 10044 cycles
Sample 635, took 10312 cycles
Sample 636, took 9372 cycles
Sample 637, took 19394 cycles
Sample 638, took 10984 cycles
Sample 639, took 10270 cycles
Sample 640, took 10251 cycles
Sample 641, took 10966 cycles
Sample 642, took 9099 cycles
Sample 643, took 10419 cycles
Sample 644, took 8938 cycles
Sample 645, took 8686 cycles
Sample 646, took 8648 cycles
Sample 647, took 8964 cycles
Sample 648, took 8783 cycles
Sample 649, took 8688 cycles
Sample 650, took 11819 cycles
Sample 651, took 8604 cycles
Sample 652, took 11014 cycles
Sample 653, took 48622 cycles
Sample 654, took 10116 cycles
Sample 655, took 69837 cycles
Sample 656, took 8050 cycles
Sample 657, took 8036 cycles
Sample 658, took 8021 cycles
Sample 659, took 45967 cycles
Sample 660, took 8061 cycles
Sample 661, took 10560 cycles
Sample 662, took 20126 cycles
Sample 663, took 64295 cycles
Sample 664, took 11922 cycles
Sample 665, took 10203 cycles
Sample 666, took 9864 cycles
Sample 667, took 18565 cycles
Sample 668, took 23575 cycles
Sample 669, took 10944 cycles
Sample 670, took 10485 cycles
Sample 671, took 13060 cycles
Sample 672, took 13638 cycles
Sample 673, took 11484 cycles
Sample 674, took 10240 cycles
Sample 675, took 10034 cycles
Sample 676, took 10417 cycles
Sample 677, took 8769 cycles
Sample 678, took 8831 cycles
Sample 679, took 10522 cycles
Sample 680, took 9550 cycles
Sample 681, took 8858 cycles
Sample 682, took 10845 cycles
Sample 683, took 8745 cycles
Sample 684, took 8597 cycles
Sample 685, took 8706 cycles
Sample 686, took 8821 cycles
Sample 687, took 8617 cycles
Sample 688, took 8723 cycles
Sample 689, took 8842 cycles
Sample 690, took 8767 cycles
Sample 691, took 8944 cycles
Sample 692, took 8737 cycles
Sample 693, took 12666 cycles
Sample 694, took 14847 cycles
Sample 695, took 11563 cycles
Sample 696, took 9935 cycles
Sample 697, took 12117 cycles
Sample 698, took 51902 cycles
Sample 699, took 10750 cycles
Sample 700, took 11361 cycles
Sample 701, took 9578 cycles
Sample 702, took 11468 cycles
Sample 703, took 10526 cycles
Sample 704, took 9101 cycles
Sample 705, took 8781 cycles
Sample 706, took 8987 cycles
Sample 707, took 10718 cycles
Sample 708, took 68836 cycles
Sample 709, took 9036 cycles
Sample 710, took 67384 cycles
Sample 711, took 10616 cycles
Sample 712, took 9138 cycles
Sample 713, took 8904 cycles
Sample 714, took 8577 cycles
Sample 715, took 8934 cycles
Sample 716, took 8813 cycles
Sample 717, took 10716 cycles
Sample 718, took 13320 cycles
Sample 719, took 9481 cycles
Sample 720, took 9849 cycles
Sample 721, took 8656 cycles
Sample 722, took 8705 cycles
Sample 723, took 12525 cycles
Sample 724, took 10413 cycles
Sample 725, took 8823 cycles
Sample 726, took 9400 cycles
Sample 727, took 46568 cycles
Sample 728, took 8992 cycles
Sample 729, took 8704 cycles
Sample 730, took 8636 cycles
Sample 731, took 9777 cycles
Sample 732, took 8723 cycles
Sample 733, took 9196 cycles
Sample 734, took 14970 cycles
Sample 735, took 8805 cycles
Sample 736, took 18307 cycles
Sample 737, took 8979 cycles
Sample 738, took 8724 cycles
Sample 739, took 8765 cycles
Sample 740, took 8571 cycles
Sample 741, took 9689 cycles
Sample 742, took 56574 cycles
Sample 743, took 11415 cycles
Sample 744, took 11809 cycles
Sample 745, took 10264 cycles
Sample 746, took 10197 cycles
Sample 747, took 9140 cycles
Sample 748, took 10921 cycles
Sample 749, took 13282 cycles
Sample 750, took 11854 cycles
Sample 751, took 10568 cycles
Sample 752, took 9726 cycles
Sample 753, took 9645 cycles
Sample 754, took 9042 cycles
Sample 755, took 9021 cycles
Sample 756, took 8682 cycles
Sample 757, took 9652 cycles
Sample 758, took 10258 cycles
Sample 759, took 7938 cycles
Sample 760, took 11345 cycles
Sample 761, took 9671 cycles
Sample 762, took 10167 cycles
Sample 763, took 10306 cycles
Sample 764, took 50235 cycles
Sample 765, took 10260 cycles
Sample 766, took 10960 cycles
Sample 767, took 9993 cycles
Sample 768, took 10111 cycles
Sample 769, took 9015 cycles
Sample 770, took 8719 cycles
Sample 771, took 10891 cycles
Sample 772, took 8971 cycles
Sample 773, took 9073 cycles
Sample 774, took 8765 cycles
Sample 775, took 12170 cycles
Sample 776, took 8700 cycles
Sample 777, took 10179 cycles
Sample 778, took 9148 cycles
Sample 779, took 9204 cycles
Sample 780, took 8981 cycles
Sample 781, took 8840 cycles
Sample 782, took 8779 cycles
Sample 783, took 8856 cycles
Sample 784, took 8771 cycles
Sample 785, took 9084 cycles
Sample 786, took 14171 cycles
Sample 787, took 55127 cycles
Sample 788, took 49209 cycles
Sample 789, took 10342 cycles
Sample 790, took 10389 cycles
Sample 791, took 10096 cycles
Sample 792, took 11196 cycles
Sample 793, took 10441 cycles
Sample 794, took 10080 cycles
Sample 795, took 16315 cycles
Sample 796, took 9685 cycles
Sample 797, took 9489 cycles
Sample 798, took 9013 cycles
Sample 799, took 9074 cycles
Sample 800, took 11854 cycles
Sample 801, took 11079 cycles
Sample 802, took 11061 cycles
Sample 803, took 9451 cycles
Sample 804, took 9073 cycles
Sample 805, took 10387 cycles
Sample 806, took 11264 cycles
Sample 807, took 10619 cycles
Sample 808, took 11457 cycles
Sample 809, took 17558 cycles
Sample 810, took 11355 cycles
Sample 811, took 11023 cycles
Sample 812, took 10558 cycles
Sample 813, took 9776 cycles
Sample 814, took 9880 cycles
Sample 815, took 9068 cycles
Sample 816, took 9265 cycles
Sample 817, took 8848 cycles
Sample 818, took 9036 cycles
Sample 819, took 8882 cycles
Sample 820, took 9227 cycles
Sample 821, took 9187 cycles
Sample 822, took 9261 cycles
Sample 823, took 11613 cycles
Sample 824, took 11702 cycles
Sample 825, took 10352 cycles
Sample 826, took 8149 cycles
Sample 827, took 11006 cycles
Sample 828, took 11276 cycles
Sample 829, took 10078 cycles
Sample 830, took 9346 cycles
Sample 831, took 46909 cycles
Sample 832, took 9070 cycles
Sample 833, took 9947 cycles
Sample 834, took 15523 cycles
Sample 835, took 12271 cycles
Sample 836, took 9975 cycles
Sample 837, took 10002 cycles
Sample 838, took 10046 cycles
Sample 839, took 10383 cycles
Sample 840, took 10210 cycles
Sample 841, took 9479 cycles
Sample 842, took 8963 cycles
Sample 843, took 9076 cycles
Sample 844, took 8802 cycles
Sample 845, took 8910 cycles
Sample 846, took 8890 cycles
Sample 847, took 8733 cycles
Sample 848, took 8732 cycles
Sample 849, took 9513 cycles
Sample 850, took 49011 cycles
Sample 851, took 10482 cycles
Sample 852, took 10075 cycles
Sample 853, took 8848 cycles
Sample 854, took 8795 cycles
Sample 855, took 11079 cycles
Sample 856, took 8529 cycles
Sample 857, took 10232 cycles
Sample 858, took 13001 cycles
Sample 859, took 46835 cycles
Sample 860, took 11216 cycles
Sample 861, took 46124 cycles
Sample 862, took 10625 cycles
Sample 863, took 10023 cycles
Sample 864, took 10157 cycles
Sample 865, took 10118 cycles
Sample 866, took 10272 cycles
Sample 867, took 9118 cycles
Sample 868, took 10116 cycles
Sample 869, took 9600 cycles
Sample 870, took 10137 cycles
Sample 871, took 9068 cycles
Sample 872, took 9022 cycles
Sample 873, took 8920 cycles
Sample 874, took 9076 cycles
Sample 875, took 8775 cycles
Sample 876, took 13842 cycles
Sample 877, took 13284 cycles
Sample 878, took 11000 cycles
Sample 879, took 8862 cycles
Sample 880, took 11250 cycles
Sample 881, took 14004 cycles
Sample 882, took 15231 cycles
Sample 883, took 11109 cycles
Sample 884, took 10517 cycles
Sample 885, took 9368 cycles
Sample 886, took 8827 cycles
Sample 887, took 8759 cycles
Sample 888, took 10602 cycles
Sample 889, took 9111 cycles
Sample 890, took 9180 cycles
Sample 891, took 9507 cycles
Sample 892, took 9850 cycles
Sample 893, took 8987 cycles
Sample 894, took 9186 cycles
Sample 895, took 9058 cycles
Sample 896, took 9380 cycles
Sample 897, took 8825 cycles
Sample 898, took 8783 cycles
Sample 899, took 8698 cycles
Sample 900, took 10435 cycles
Sample 901, took 9105 cycles
Sample 902, took 10615 cycles
Sample 903, took 9806 cycles
Sample 904, took 11111 cycles
Sample 905, took 70319 cycles
Sample 906, took 10179 cycles
Sample 907, took 16279 cycles
